country,year,age,data_id,sex,suicides_no,population,suicides/100k pop,generation,gdp_for_year,gdp_per_capita
Cyprus,2008,75+ years,6993,male,2,18436,10.85,Silent,"27,83,94,60,964",37267
Cyprus,2009,15-24 years,7005,male,5,66107,7.56,Millenials,"25,94,26,22,951",33816
Cyprus,2009,25-34 years,7004,male,6,61663,9.73,Generation X,"25,94,26,22,951",33816
Cyprus,2009,35-54 years,7006,male,7,105858,6.61,Boomers,"25,94,26,22,951",33816
Cyprus,2009,55-74 years,7007,male,4,72713,5.5,Silent,"25,94,26,22,951",33816
Cyprus,2009,75+ years,7008,female,1,25758,3.88,Silent,"25,94,26,22,951",33816
Cyprus,2010,15-24 years,7020,female,3,64577,4.65,Millenials,"25,56,22,51,656",32477
Cyprus,2010,25-34 years,7016,male,7,65092,10.75,Generation X,"25,56,22,51,656",32477
Cyprus,2010,35-54 years,7021,female,4,119200,3.36,Generation X,"25,56,22,51,656",32477
Cyprus,2010,55-74 years,7022,female,1,79168,1.26,Silent,"25,56,22,51,656",32477
Cyprus,2010,75+ years,7015,male,3,19667,15.25,Silent,"25,56,22,51,656",32477
Cyprus,2011,15-24 years,7030,male,3,67311,4.46,Millenials,"27,42,71,61,523",34249
Cyprus,2011,35-54 years,7032,female,3,122543,2.45,Generation X,"27,42,71,61,523",34249
Cyprus,2011,55-74 years,7033,female,1,80672,1.24,Boomers,"27,42,71,61,523",34249
Cyprus,2011,75+ years,7031,female,1,25937,3.86,Silent,"27,42,71,61,523",34249
Cyprus,2012,15-24 years,7041,male,6,66014,9.09,Millenials,"25,04,13,72,222",30752
Cyprus,2012,25-34 years,7043,female,1,75365,1.33,Millenials,"25,04,13,72,222",30752
Cyprus,2012,35-54 years,7044,female,1,125423,0.8,Generation X,"25,04,13,72,222",30752
Cyprus,2012,55-74 years,7042,male,5,79804,6.27,Boomers,"25,04,13,72,222",30752
Cyprus,2013,15-24 years,7052,male,8,62893,12.72,Millenials,"24,08,45,72,491",29624
Cyprus,2013,25-34 years,7054,male,8,70521,11.34,Millenials,"24,08,45,72,491",29624
Cyprus,2013,35-54 years,7055,male,11,110593,9.95,Generation X,"24,08,45,72,491",29624
Cyprus,2013,55-74 years,7053,male,10,81903,12.21,Boomers,"24,08,45,72,491",29624
Cyprus,2013,75+ years,7051,male,3,21349,14.05,Silent,"24,08,45,72,491",29624
Cyprus,2014,15-24 years,7070,male,2,60975,3.28,Millenials,"23,35,92,94,149",29024
Cyprus,2014,25-34 years,7064,male,8,68555,11.67,Millenials,"23,35,92,94,149",29024
Cyprus,2014,35-54 years,7063,male,13,107823,12.06,Generation X,"23,35,92,94,149",29024
Cyprus,2014,55-74 years,7066,female,5,87152,5.74,Boomers,"23,35,92,94,149",29024
Cyprus,2014,75+ years,7069,male,1,22372,4.47,Silent,"23,35,92,94,149",29024
Cyprus,2015,15-24 years,7082,female,1,58123,1.72,Millenials,"19,67,61,67,240",24718
Cyprus,2015,25-34 years,7080,female,2,70765,2.83,Millenials,"19,67,61,67,240",24718
Cyprus,2015,35-54 years,7081,female,3,118975,2.52,Generation X,"19,67,61,67,240",24718
Cyprus,2015,55-74 years,7075,male,9,83627,10.76,Boomers,"19,67,61,67,240",24718
Cyprus,2016,15-24 years,7088,male,5,58051,8.61,Millenials,"20,15,38,71,681",25098
Cyprus,2016,25-34 years,7093,female,1,71307,1.4,Millenials,"20,15,38,71,681",25098
Cyprus,2016,35-54 years,7092,female,3,117819,2.55,Generation X,"20,15,38,71,681",25098
Cyprus,2016,55-74 years,7094,female,1,90294,1.11,Boomers,"20,15,38,71,681",25098
Cyprus,2016,75+ years,7089,male,2,24004,8.33,Silent,"20,15,38,71,681",25098
Czech Republic,1990,15-24 years,7103,male,99,783000,12.64,Generation X,"40,47,74,03,220",4168
Czech Republic,1990,25-34 years,7101,male,176,713900,24.65,Boomers,"40,47,74,03,220",4168
Czech Republic,1990,35-54 years,7104,female,150,1426600,10.51,Silent,"40,47,74,03,220",4168
Czech Republic,1990,5-14 years,7108,female,1,767500,0.13,Generation X,"40,47,74,03,220",4168
Czech Republic,1990,55-74 years,7098,male,385,800800,48.08,G.I. Generation,"40,47,74,03,220",4168
Czech Republic,1990,75+ years,7097,male,198,179200,110.49,G.I. Generation,"40,47,74,03,220",4168
Czech Republic,1991,15-24 years,7115,male,116,802000,14.46,Generation X,"29,67,55,02,270",3070
Czech Republic,1991,25-34 years,7113,male,176,693100,25.39,Boomers,"29,67,55,02,270",3070
Czech Republic,1991,35-54 years,7116,female,157,1443700,10.87,Boomers,"29,67,55,02,270",3070
Czech Republic,1991,5-14 years,7119,male,14,771400,1.81,Millenials,"29,67,55,02,270",3070
Czech Republic,1991,55-74 years,7110,male,365,805100,45.34,Silent,"29,67,55,02,270",3070
Czech Republic,1991,75+ years,7112,female,104,352900,29.47,G.I. Generation,"29,67,55,02,270",3070
Czech Republic,1992,15-24 years,7127,male,122,825400,14.78,Generation X,"34,59,00,52,812",3573
Czech Republic,1992,25-34 years,7125,male,172,685500,25.09,Boomers,"34,59,00,52,812",3573
Czech Republic,1992,35-54 years,7123,male,623,1454300,42.84,Boomers,"34,59,00,52,812",3573
Czech Republic,1992,5-14 years,7131,male,9,745800,1.21,Millenials,"34,59,00,52,812",3573
Czech Republic,1992,55-74 years,7122,male,394,811100,48.58,Silent,"34,59,00,52,812",3573
Czech Republic,1992,75+ years,7121,male,165,161400,102.23,G.I. Generation,"34,59,00,52,812",3573
Czech Republic,1993,15-24 years,7138,male,139,847600,16.4,Generation X,"40,61,43,50,197",4186
Czech Republic,1993,25-34 years,7137,male,159,682100,23.31,Boomers,"40,61,43,50,197",4186
Czech Republic,1993,35-54 years,7135,male,592,1472000,40.22,Boomers,"40,61,43,50,197",4186
Czech Republic,1993,5-14 years,7143,male,12,722000,1.66,Millenials,"40,61,43,50,197",4186
Czech Republic,1993,55-74 years,7134,male,355,819300,43.33,Silent,"40,61,43,50,197",4186
Czech Republic,1993,75+ years,7133,male,155,152300,101.77,G.I. Generation,"40,61,43,50,197",4186
Czech Republic,1994,15-24 years,7150,male,148,865700,17.1,Generation X,"47,55,46,74,591",4891
Czech Republic,1994,25-34 years,7149,male,177,686000,25.8,Boomers,"47,55,46,74,591",4891
Czech Republic,1994,35-54 years,7152,female,177,1491800,11.86,Boomers,"47,55,46,74,591",4891
Czech Republic,1994,5-14 years,7155,male,11,699800,1.57,Millenials,"47,55,46,74,591",4891
Czech Republic,1994,55-74 years,7151,female,176,1057000,16.65,Silent,"47,55,46,74,591",4891
Czech Republic,1994,75+ years,7148,female,104,314000,33.12,G.I. Generation,"47,55,46,74,591",4891
Czech Republic,1995,15-24 years,7165,female,35,837000,4.18,Generation X,"59,77,56,97,061",6134
Czech Republic,1995,25-34 years,7166,female,25,668100,3.74,Generation X,"59,77,56,97,061",6134
Czech Republic,1995,35-54 years,7164,female,138,1494200,9.24,Boomers,"59,77,56,97,061",6134
Czech Republic,1995,5-14 years,7168,female,4,651600,0.61,Millenials,"59,77,56,97,061",6134
Czech Republic,1995,55-74 years,7159,male,280,828300,33.8,Silent,"59,77,56,97,061",6134
Czech Republic,1995,75+ years,7157,male,132,150800,87.53,G.I. Generation,"59,77,56,97,061",6134
Czech Republic,1996,15-24 years,7174,male,142,873600,16.25,Generation X,"66,98,57,65,439",6861
Czech Republic,1996,25-34 years,7173,male,162,708200,22.87,Generation X,"66,98,57,65,439",6861
Czech Republic,1996,35-54 years,7170,male,488,1487000,32.82,Boomers,"66,98,57,65,439",6861
Czech Republic,1996,5-14 years,7179,male,8,673700,1.19,Millenials,"66,98,57,65,439",6861
Czech Republic,1996,55-74 years,7171,male,266,831800,31.98,Silent,"66,98,57,65,439",6861
Czech Republic,1996,75+ years,7169,male,140,157200,89.06,G.I. Generation,"66,98,57,65,439",6861
Czech Republic,1997,15-24 years,7186,male,136,865600,15.71,Generation X,"61,79,21,61,168",6314
Czech Republic,1997,25-34 years,7189,female,32,693900,4.61,Generation X,"61,79,21,61,168",6314
Czech Republic,1997,35-54 years,7188,female,134,1492200,8.98,Boomers,"61,79,21,61,168",6314
Czech Republic,1997,5-14 years,7191,male,5,666600,0.75,Millenials,"61,79,21,61,168",6314
Czech Republic,1997,55-74 years,7187,female,106,1051400,10.08,Silent,"61,79,21,61,168",6314
Czech Republic,1997,75+ years,7185,female,61,340800,17.9,G.I. Generation,"61,79,21,61,168",6314
Czech Republic,1998,15-24 years,7198,male,126,849600,14.83,Generation X,"66,49,03,72,105",6779
Czech Republic,1998,25-34 years,7196,male,179,742300,24.11,Generation X,"66,49,03,72,105",6779
Czech Republic,1998,35-54 years,7194,male,554,1487500,37.24,Boomers,"66,49,03,72,105",6779
Czech Republic,1998,5-14 years,7203,male,5,659000,0.76,Millenials,"66,49,03,72,105",6779
Czech Republic,1998,55-74 years,7195,male,277,845700,32.75,Silent,"66,49,03,72,105",6779
Czech Republic,1998,75+ years,7197,female,65,354800,18.32,G.I. Generation,"66,49,03,72,105",6779
Czech Republic,1999,15-24 years,7210,male,144,824827,17.46,Generation X,"64,86,74,83,193",6606
Czech Republic,1999,25-34 years,7208,male,173,761534,22.72,Generation X,"64,86,74,83,193",6606
Czech Republic,1999,35-54 years,7207,male,509,1488504,34.2,Boomers,"64,86,74,83,193",6606
Czech Republic,1999,5-14 years,7215,male,3,648214,0.46,Millenials,"64,86,74,83,193",6606
Czech Republic,1999,55-74 years,7206,male,302,860656,35.09,Silent,"64,86,74,83,193",6606
Czech Republic,1999,75+ years,7205,male,154,181079,85.05,G.I. Generation,"64,86,74,83,193",6606
Czech Republic,2000,15-24 years,7221,male,139,797534,17.43,Generation X,"61,64,94,92,817",6278
Czech Republic,2000,25-34 years,7225,female,26,751117,3.46,Generation X,"61,64,94,92,817",6278
Czech Republic,2000,35-54 years,7224,female,120,1487345,8.07,Boomers,"61,64,94,92,817",6278
Czech Republic,2000,5-14 years,7227,male,8,631794,1.27,Millenials,"61,64,94,92,817",6278
Czech Republic,2000,55-74 years,7223,female,113,1069748,10.56,Silent,"61,64,94,92,817",6278
Czech Republic,2000,75+ years,7222,female,63,380114,16.57,G.I. Generation,"61,64,94,92,817",6278
Czech Republic,2001,15-24 years,7233,male,133,779015,17.07,Millenials,"67,52,36,42,262",6863
Czech Republic,2001,25-34 years,7232,male,172,809431,21.25,Generation X,"67,52,36,42,262",6863
Czech Republic,2001,35-54 years,7230,male,558,1489505,37.46,Boomers,"67,52,36,42,262",6863
Czech Republic,2001,5-14 years,7239,male,4,617745,0.65,Millenials,"67,52,36,42,262",6863
Czech Republic,2001,55-74 years,7231,male,285,897842,31.74,Silent,"67,52,36,42,262",6863
Czech Republic,2001,75+ years,7229,male,142,191730,74.06,Silent,"67,52,36,42,262",6863
Czech Republic,2002,15-24 years,7246,male,91,746413,12.19,Millenials,"81,91,07,71,994",8399
Czech Republic,2002,25-34 years,7244,male,180,818936,21.98,Generation X,"81,91,07,71,994",8399
Czech Republic,2002,35-54 years,7248,female,108,1451319,7.44,Boomers,"81,91,07,71,994",8399
Czech Republic,2002,5-14 years,7251,male,5,592734,0.84,Millenials,"81,91,07,71,994",8399
Czech Republic,2002,55-74 years,7243,male,282,921139,30.61,Silent,"81,91,07,71,994",8399
Czech Republic,2002,75+ years,7241,male,140,196619,71.2,Silent,"81,91,07,71,994",8399
Czech Republic,2003,15-24 years,7262,female,22,694102,3.17,Millenials,"99,62,71,40,274",10220
Czech Republic,2003,25-34 years,7256,male,206,842279,24.46,Generation X,"99,62,71,40,274",10220
Czech Republic,2003,35-54 years,7254,male,572,1441293,39.69,Boomers,"99,62,71,40,274",10220
Czech Republic,2003,5-14 years,7264,female,3,544809,0.55,Millenials,"99,62,71,40,274",10220
Czech Republic,2003,55-74 years,7260,female,99,1129314,8.77,Silent,"99,62,71,40,274",10220
Czech Republic,2003,75+ years,7253,male,158,202317,78.1,Silent,"99,62,71,40,274",10220
Czech Republic,2004,15-24 years,7269,male,110,707587,15.55,Millenials,"1,19,16,21,72,468",12226
Czech Republic,2004,25-34 years,7268,male,193,862649,22.37,Generation X,"1,19,16,21,72,468",12226
Czech Republic,2004,35-54 years,7266,male,540,1429901,37.76,Boomers,"1,19,16,21,72,468",12226
Czech Republic,2004,5-14 years,7275,male,5,553266,0.9,Millenials,"1,19,16,21,72,468",12226
Czech Republic,2004,55-74 years,7267,male,317,973192,32.57,Silent,"1,19,16,21,72,468",12226
Czech Republic,2004,75+ years,7265,male,121,208455,58.05,Silent,"1,19,16,21,72,468",12226
Czech Republic,2005,15-24 years,7281,male,85,695191,12.23,Millenials,"1,36,28,06,89,891",13961
Czech Republic,2005,25-34 years,7280,male,208,877897,23.69,Generation X,"1,36,28,06,89,891",13961
Czech Republic,2005,35-54 years,7278,male,516,1427262,36.15,Boomers,"1,36,28,06,89,891",13961
Czech Republic,2005,5-14 years,7288,female,2,506842,0.39,Millenials,"1,36,28,06,89,891",13961
Czech Republic,2005,55-74 years,7279,male,347,998004,34.77,Silent,"1,36,28,06,89,891",13961
Czech Republic,2005,75+ years,7277,male,113,215366,52.47,Silent,"1,36,28,06,89,891",13961
Czech Republic,2006,15-24 years,7293,male,101,690682,14.62,Millenials,"1,55,46,38,07,113",15896
Czech Republic,2006,25-34 years,7292,male,155,884745,17.52,Generation X,"1,55,46,38,07,113",15896
Czech Republic,2006,35-54 years,7290,male,459,1426930,32.17,Boomers,"1,55,46,38,07,113",15896
Czech Republic,2006,5-14 years,7299,male,3,515573,0.58,Millenials,"1,55,46,38,07,113",15896
Czech Republic,2006,55-74 years,7291,male,299,1022887,29.23,Silent,"1,55,46,38,07,113",15896
Czech Republic,2006,75+ years,7289,male,125,222276,56.24,Silent,"1,55,46,38,07,113",15896
Czech Republic,2007,15-24 years,7310,female,15,654550,2.29,Millenials,"1,89,22,70,50,760",19273
Czech Republic,2007,25-34 years,7309,female,21,846092,2.48,Generation X,"1,89,22,70,50,760",19273
Czech Republic,2007,35-54 years,7308,female,73,1400706,5.21,Boomers,"1,89,22,70,50,760",19273
Czech Republic,2007,5-14 years,7311,male,2,499126,0.4,Generation Z,"1,89,22,70,50,760",19273
Czech Republic,2007,55-74 years,7307,female,72,1216178,5.92,Silent,"1,89,22,70,50,760",19273
Czech Republic,2007,75+ years,7306,female,49,438726,11.17,Silent,"1,89,22,70,50,760",19273
Czech Republic,2008,15-24 years,7317,male,96,692756,13.86,Millenials,"2,35,71,85,86,901",23811
Czech Republic,2008,25-34 years,7316,male,162,892070,18.16,Generation X,"2,35,71,85,86,901",23811
Czech Republic,2008,35-54 years,7314,male,434,1457201,29.78,Boomers,"2,35,71,85,86,901",23811
Czech Republic,2008,5-14 years,7323,male,3,487813,0.61,Generation Z,"2,35,71,85,86,901",23811
Czech Republic,2008,55-74 years,7315,male,291,1075692,27.05,Silent,"2,35,71,85,86,901",23811
Czech Republic,2008,75+ years,7313,male,137,235750,58.11,Silent,"2,35,71,85,86,901",23811
Czech Republic,2009,15-24 years,7333,female,16,646079,2.48,Millenials,"2,06,17,99,82,164",20748
Czech Republic,2009,25-34 years,7334,female,18,827079,2.18,Generation X,"2,06,17,99,82,164",20748
Czech Republic,2009,35-54 years,7332,female,79,1428022,5.53,Boomers,"2,06,17,99,82,164",20748
Czech Republic,2009,5-14 years,7336,female,1,453948,0.22,Generation Z,"2,06,17,99,82,164",20748
Czech Republic,2009,55-74 years,7331,female,78,1265312,6.16,Silent,"2,06,17,99,82,164",20748
Czech Republic,2009,75+ years,7330,female,42,450517,9.32,Silent,"2,06,17,99,82,164",20748
Czech Republic,2010,15-24 years,7341,male,94,665538,14.12,Millenials,"2,07,47,78,57,919",20862
Czech Republic,2010,25-34 years,7340,male,168,858416,19.57,Generation X,"2,07,47,78,57,919",20862
Czech Republic,2010,35-54 years,7339,male,473,1499075,31.55,Generation X,"2,07,47,78,57,919",20862
Czech Republic,2010,5-14 years,7347,male,1,479853,0.21,Generation Z,"2,07,47,78,57,919",20862
Czech Republic,2010,55-74 years,7338,male,394,1121705,35.13,Silent,"2,07,47,78,57,919",20862
Czech Republic,2010,75+ years,7337,male,115,243211,47.28,Silent,"2,07,47,78,57,919",20862
Czech Republic,2011,15-24 years,7358,female,19,602033,3.16,Millenials,"2,27,94,83,49,666",23010
Czech Republic,2011,25-34 years,7357,female,28,771896,3.63,Millenials,"2,27,94,83,49,666",23010
Czech Republic,2011,35-54 years,7351,male,500,1517715,32.94,Generation X,"2,27,94,83,49,666",23010
Czech Republic,2011,5-14 years,7359,male,2,483911,0.41,Generation Z,"2,27,94,83,49,666",23010
Czech Republic,2011,55-74 years,7356,female,77,1312571,5.87,Boomers,"2,27,94,83,49,666",23010
Czech Republic,2011,75+ years,7354,female,43,454906,9.45,Silent,"2,27,94,83,49,666",23010
Czech Republic,2012,15-24 years,7365,male,84,609704,13.78,Millenials,"2,07,37,64,27,021",20898
Czech Republic,2012,25-34 years,7364,male,179,796162,22.48,Millenials,"2,07,37,64,27,021",20898
Czech Republic,2012,35-54 years,7363,male,538,1537251,35,Generation X,"2,07,37,64,27,021",20898
Czech Republic,2012,5-14 years,7371,male,3,495721,0.61,Generation Z,"2,07,37,64,27,021",20898
Czech Republic,2012,55-74 years,7362,male,430,1173069,36.66,Boomers,"2,07,37,64,27,021",20898
Czech Republic,2012,75+ years,7361,male,146,248952,58.65,Silent,"2,07,37,64,27,021",20898
Czech Republic,2013,15-24 years,7377,male,108,586871,18.4,Millenials,"2,09,40,24,44,996",21073
Czech Republic,2013,25-34 years,7376,male,168,773130,21.73,Millenials,"2,09,40,24,44,996",21073
Czech Republic,2013,35-54 years,7375,male,485,1556338,31.16,Generation X,"2,09,40,24,44,996",21073
Czech Republic,2013,5-14 years,7383,male,5,510895,0.98,Generation Z,"2,09,40,24,44,996",21073
Czech Republic,2013,55-74 years,7374,male,399,1188011,33.59,Boomers,"2,09,40,24,44,996",21073
Czech Republic,2013,75+ years,7373,male,129,252532,51.08,Silent,"2,09,40,24,44,996",21073
Czech Republic,2014,15-24 years,7389,male,84,565782,14.85,Millenials,"2,07,81,83,30,724",20859
Czech Republic,2014,25-34 years,7388,male,157,752372,20.87,Millenials,"2,07,81,83,30,724",20859
Czech Republic,2014,35-54 years,7387,male,467,1580637,29.55,Generation X,"2,07,81,83,30,724",20859
Czech Republic,2014,5-14 years,7395,female,1,500027,0.2,Generation Z,"2,07,81,83,30,724",20859
Czech Republic,2014,55-74 years,7386,male,364,1197687,30.39,Boomers,"2,07,81,83,30,724",20859
Czech Republic,2014,75+ years,7385,male,123,257383,47.79,Silent,"2,07,81,83,30,724",20859
Czech Republic,2015,15-24 years,7401,male,58,546597,10.61,Millenials,"1,86,82,99,40,546",18703
Czech Republic,2015,25-34 years,7406,female,20,698584,2.86,Millenials,"1,86,82,99,40,546",18703
Czech Republic,2015,35-54 years,7404,female,86,1528289,5.63,Generation X,"1,86,82,99,40,546",18703
Czech Republic,2015,5-14 years,7408,male,2,543129,0.37,Generation Z,"1,86,82,99,40,546",18703
Czech Republic,2015,55-74 years,7398,male,373,1202553,31.02,Boomers,"1,86,82,99,40,546",18703
Czech Republic,2015,75+ years,7397,male,145,264401,54.84,Silent,"1,86,82,99,40,546",18703
Czech Republic,2016,15-24 years,7413,male,78,527890,14.78,Millenials,"1,95,30,50,84,919",19505
Czech Republic,2016,25-34 years,7412,male,137,729199,18.79,Millenials,"1,95,30,50,84,919",19505
Czech Republic,2016,35-54 years,7411,male,386,1617906,23.86,Generation X,"1,95,30,50,84,919",19505
Czech Republic,2016,55-74 years,7410,male,319,1205832,26.45,Boomers,"1,95,30,50,84,919",19505
Czech Republic,2016,75+ years,7409,male,140,273637,51.16,Silent,"1,95,30,50,84,919",19505
Denmark,1994,15-24 years,7426,male,37,360900,10.25,Generation X,"1,56,16,23,11,732",32034
Denmark,1994,25-34 years,7423,male,85,414100,20.53,Boomers,"1,56,16,23,11,732",32034
Denmark,1994,35-54 years,7421,male,279,755600,36.92,Boomers,"1,56,16,23,11,732",32034
Denmark,1994,5-14 years,7429,male,1,288100,0.35,Millenials,"1,56,16,23,11,732",32034
Denmark,1994,55-74 years,7420,male,189,448200,42.17,Silent,"1,56,16,23,11,732",32034
Denmark,1994,75+ years,7419,male,89,131700,67.58,G.I. Generation,"1,56,16,23,11,732",32034
Denmark,1995,15-24 years,7438,male,47,355700,13.21,Generation X,"1,85,00,69,61,302",37841
Denmark,1995,25-34 years,7439,female,18,393200,4.58,Generation X,"1,85,00,69,61,302",37841
Denmark,1995,35-54 years,7437,female,108,739000,14.61,Boomers,"1,85,00,69,61,302",37841
Denmark,1995,5-14 years,7441,male,1,291000,0.34,Millenials,"1,85,00,69,61,302",37841
Denmark,1995,55-74 years,7432,male,180,449600,40.04,Silent,"1,85,00,69,61,302",37841
Denmark,1995,75+ years,7431,male,85,133500,63.67,G.I. Generation,"1,85,00,69,61,302",37841
Denmark,1996,15-24 years,7452,female,8,335700,2.38,Generation X,"1,87,63,24,00,366",38158
Denmark,1996,25-34 years,7451,female,20,395400,5.06,Generation X,"1,87,63,24,00,366",38158
Denmark,1996,35-54 years,7445,male,236,771800,30.58,Boomers,"1,87,63,24,00,366",38158
Denmark,1996,5-14 years,7453,male,1,298600,0.33,Millenials,"1,87,63,24,00,366",38158
Denmark,1996,55-74 years,7449,female,71,498500,14.24,Silent,"1,87,63,24,00,366",38158
Denmark,1996,75+ years,7443,male,95,134200,70.79,G.I. Generation,"1,87,63,24,00,366",38158
Denmark,1997,15-24 years,7461,male,45,337600,13.33,Generation X,"1,73,53,75,88,008",35148
Denmark,1997,25-34 years,7459,male,79,417200,18.94,Generation X,"1,73,53,75,88,008",35148
Denmark,1997,35-54 years,7457,male,191,777200,24.58,Boomers,"1,73,53,75,88,008",35148
Denmark,1997,5-14 years,7465,male,3,306200,0.98,Millenials,"1,73,53,75,88,008",35148
Denmark,1997,55-74 years,7456,male,148,458400,32.29,Silent,"1,73,53,75,88,008",35148
Denmark,1997,75+ years,7455,male,94,135400,69.42,G.I. Generation,"1,73,53,75,88,008",35148
Denmark,1998,15-24 years,7474,male,34,327800,10.37,Generation X,"1,76,99,20,00,955",35710
Denmark,1998,25-34 years,7470,male,84,414200,20.28,Generation X,"1,76,99,20,00,955",35710
Denmark,1998,35-54 years,7468,male,235,780300,30.12,Boomers,"1,76,99,20,00,955",35710
Denmark,1998,5-14 years,7477,male,2,314900,0.64,Millenials,"1,76,99,20,00,955",35710
Denmark,1998,55-74 years,7472,female,74,507800,14.57,Silent,"1,76,99,20,00,955",35710
Denmark,1998,75+ years,7467,male,74,136600,54.17,G.I. Generation,"1,76,99,20,00,955",35710
Denmark,1999,15-24 years,7484,male,40,319101,12.54,Generation X,"1,77,96,52,24,621",35763
Denmark,1999,25-34 years,7482,male,91,408827,22.26,Generation X,"1,77,96,52,24,621",35763
Denmark,1999,35-54 years,7481,male,214,783204,27.32,Boomers,"1,77,96,52,24,621",35763
Denmark,1999,5-14 years,7489,male,3,323638,0.93,Millenials,"1,77,96,52,24,621",35763
Denmark,1999,55-74 years,7480,male,151,480316,31.44,Silent,"1,77,96,52,24,621",35763
Denmark,1999,75+ years,7479,male,64,137353,46.6,G.I. Generation,"1,77,96,52,24,621",35763
Denmark,2000,15-24 years,7496,male,39,310470,12.56,Generation X,"1,64,15,88,00,460",32841
Denmark,2000,25-34 years,7495,male,61,403105,15.13,Generation X,"1,64,15,88,00,460",32841
Denmark,2000,35-54 years,7493,male,218,783883,27.81,Boomers,"1,64,15,88,00,460",32841
Denmark,2000,5-14 years,7501,male,1,332762,0.3,Millenials,"1,64,15,88,00,460",32841
Denmark,2000,55-74 years,7492,male,142,495321,28.67,Silent,"1,64,15,88,00,460",32841
Denmark,2000,75+ years,7491,male,72,138454,52,G.I. Generation,"1,64,15,88,00,460",32841
Denmark,2001,15-24 years,7509,male,38,304335,12.49,Millenials,"1,64,79,14,16,350",32837
Denmark,2001,25-34 years,7508,male,58,394591,14.7,Generation X,"1,64,79,14,16,350",32837
Denmark,2001,35-54 years,7510,female,73,761705,9.58,Boomers,"1,64,79,14,16,350",32837
Denmark,2001,5-14 years,7513,male,2,340220,0.59,Millenials,"1,64,79,14,16,350",32837
Denmark,2001,55-74 years,7507,female,83,541963,15.31,Silent,"1,64,79,14,16,350",32837
Denmark,2001,75+ years,7506,female,48,239716,20.02,Silent,"1,64,79,14,16,350",32837
Denmark,2002,15-24 years,7520,male,40,302190,13.24,Millenials,"1,78,63,51,60,297",35435
Denmark,2002,25-34 years,7519,male,64,383869,16.67,Generation X,"1,78,63,51,60,297",35435
Denmark,2002,35-54 years,7517,male,182,784825,23.19,Boomers,"1,78,63,51,60,297",35435
Denmark,2002,55-74 years,7516,male,140,528640,26.48,Silent,"1,78,63,51,60,297",35435
Denmark,2002,75+ years,7515,male,77,140549,54.79,Silent,"1,78,63,51,60,297",35435
Denmark,2003,15-24 years,7536,female,6,290582,2.06,Millenials,"2,18,09,59,97,085",43129
Denmark,2003,25-34 years,7535,female,19,369080,5.15,Generation X,"2,18,09,59,97,085",43129
Denmark,2003,35-54 years,7534,female,43,763110,5.63,Boomers,"2,18,09,59,97,085",43129
Denmark,2003,55-74 years,7532,female,59,567852,10.39,Silent,"2,18,09,59,97,085",43129
Denmark,2003,75+ years,7531,female,26,237848,10.93,Silent,"2,18,09,59,97,085",43129
Denmark,2004,15-24 years,7548,female,11,290626,3.78,Millenials,"2,51,37,30,36,671",49552
Denmark,2004,25-34 years,7547,female,19,364710,5.21,Generation X,"2,51,37,30,36,671",49552
Denmark,2004,35-54 years,7546,female,71,762293,9.31,Boomers,"2,51,37,30,36,671",49552
Denmark,2004,5-14 years,7549,female,2,335587,0.6,Millenials,"2,51,37,30,36,671",49552
Denmark,2004,55-74 years,7543,female,66,578536,11.41,Silent,"2,51,37,30,36,671",49552
Denmark,2004,75+ years,7545,female,23,237260,9.69,Silent,"2,51,37,30,36,671",49552
Denmark,2005,15-24 years,7558,male,21,305232,6.88,Millenials,"2,64,46,73,08,109",51960
Denmark,2005,25-34 years,7555,male,53,364110,14.56,Generation X,"2,64,46,73,08,109",51960
Denmark,2005,35-54 years,7553,male,158,781448,20.22,Boomers,"2,64,46,73,08,109",51960
Denmark,2005,5-14 years,7561,male,3,354025,0.85,Millenials,"2,64,46,73,08,109",51960
Denmark,2005,55-74 years,7552,male,139,564794,24.61,Silent,"2,64,46,73,08,109",51960
Denmark,2005,75+ years,7551,male,83,143327,57.91,Silent,"2,64,46,73,08,109",51960
Denmark,2006,15-24 years,7569,male,24,312053,7.69,Millenials,"2,82,88,49,12,894",55354
Denmark,2006,25-34 years,7566,male,52,355908,14.61,Generation X,"2,82,88,49,12,894",55354
Denmark,2006,35-54 years,7565,male,161,782816,20.57,Boomers,"2,82,88,49,12,894",55354
Denmark,2006,5-14 years,7573,female,1,336170,0.3,Millenials,"2,82,88,49,12,894",55354
Denmark,2006,55-74 years,7564,male,155,575056,26.95,Silent,"2,82,88,49,12,894",55354
Denmark,2006,75+ years,7563,male,79,144928,54.51,Silent,"2,82,88,49,12,894",55354
Denmark,2007,15-24 years,7582,male,15,320054,4.69,Millenials,"3,19,42,33,70,134",62229
Denmark,2007,25-34 years,7583,female,15,345418,4.34,Generation X,"3,19,42,33,70,134",62229
Denmark,2007,35-54 years,7580,female,71,768072,9.24,Boomers,"3,19,42,33,70,134",62229
Denmark,2007,5-14 years,7585,male,2,351664,0.57,Generation Z,"3,19,42,33,70,134",62229
Denmark,2007,55-74 years,7581,female,55,606387,9.07,Silent,"3,19,42,33,70,134",62229
Denmark,2007,75+ years,7579,female,33,235854,13.99,Silent,"3,19,42,33,70,134",62229
Denmark,2008,15-24 years,7594,male,30,330409,9.08,Millenials,"3,53,36,10,56,080",68447
